GEB Binaries,Program Language,Basic,Network,Building,FuncLabels
CTRL_IN.bin,Structured Text,1,0,0,Ctrl_Mods
CTRL_OUT.bin,Structured Text,1,0,0,Ctrl_Mods
CTRL_PI.bin,Structured Text,1,0,0,Ctrl_Mods
CTRL_PID.bin,Structured Text,1,0,0,Ctrl_Mods
CTRL_PWM.bin,Structured Text,1,0,0,Ctrl_Mods
CYCLE_4.bin,Structured Text,1,0,0,Pulse_Gen
CYCLE_TIME.bin,Structured Text,1,0,0,Measure_Mods
C_TO_F.bin,Structured Text,1,0,0,Calculations
C_TO_K.bin,Structured Text,1,0,0,Calculations
DATE_ADD.bin,Structured Text,1,0,0,Time_and_Date
DATE_TO_DT.bin,Structured Text,1,0,0,Time_and_Date
DATE_TO_DWORD.bin,Structured Text,1,0,0,Time_and_Date
DATE_TO_REAL.bin,Structured Text,1,0,0,Time_and_Date
DATE_TO_STRING.bin,Structured Text,1,0,0,Str_Func
DATE_TO_UDINT.bin,Structured Text,1,0,0,Time_and_Date
DAYS_DELTA.bin,Structured Text,1,0,0,Time_and_Date
DAYS_IN_MONTH.bin,Structured Text,1,0,0,Time_and_Date
DAYS_IN_YEAR.bin,Structured Text,1,0,0,Time_and_Date
DAY_OF_DATE.bin,Structured Text,1,0,0,Time_and_Date
DAY_OF_MONTH.bin,Structured Text,1,0,0,Time_and_Date
DAY_OF_WEEK.bin,Structured Text,1,0,0,Time_and_Date
DAY_OF_YEAR.bin,Structured Text,1,0,0,Time_and_Date
DAY_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
DCF77.bin,Structured Text,1,0,0,Time_and_Date
DEAD_BAND.bin,Structured Text,1,0,0,Ctrl_Mods
DEAD_BAND_A.bin,Structured Text,1,0,0,Ctrl_Mods
DEAD_ZONE.bin,Structured Text,1,0,0,Ctrl_Mods
DEAD_ZONE2.bin,Structured Text,1,0,0,Ctrl_Mods
DEBOUNCE.bin,Structured Text,0,0,1,Building_Other_Func
DEC1.bin,Structured Text,1,0,0,Mathematics
DEC_2.bin,Structured Text,1,0,0,Logic_Mods
DEC_4.bin,Structured Text,1,0,0,Logic_Mods
DEC_8.bin,Structured Text,1,0,0,Logic_Mods
DEG.bin,Structured Text,1,0,0,Mathematics
DEG_TO_DIR.bin,Structured Text,1,0,0,Calculations
DELAY.bin,Structured Text,1,0,0,Signal_Proc
DELAY_4.bin,Structured Text,1,0,0,Signal_Proc
DEL_CHARS.bin,Structured Text,1,0,0,Str_Func
DEW_CON.bin,Structured Text,0,0,1,Actuators_HAVC
DEW_RH.bin,Structured Text,0,0,1,Actuators_HAVC
DEW_TEMP.bin,Structured Text,0,0,1,Actuators_HAVC
DIFFER.bin,Structured Text,1,0,0,Mathematics
DIR_TO_DEG.bin,Structured Text,1,0,0,Calculations
DRIVER_1.bin,Structured Text,1,0,0,Basic_Dev_Drivers
DRIVER_4.bin,Structured Text,1,0,0,Basic_Dev_Drivers
DRIVER_4C.bin,Structured Text,1,0,0,Basic_Dev_Drivers
DST.bin,Structured Text,1,0,0,Time_and_Date
DT2_TO_SDT.bin,Structured Text,1,0,0,Time_and_Date
DT_SIMU.bin,Structured Text,1,0,0,Measure_Mods
DT_TO_SDT.bin,Structured Text,1,0,0,Time_and_Date
DT_TO_STRING.bin,Structured Text,1,0,0,Str_Func
DT_TO_TOD.bin,Structured Text,1,0,0,Time_and_Date
DWORD_OF_BYTE.bin,Structured Text,1,0,0,Logic_Mods
DWORD_OF_WORD.bin,Structured Text,1,0,0,Logic_Mods
DWORD_TO_DATE.bin,Structured Text,1,0,0,Time_and_Date
DWORD_TO_DT.bin,Structured Text,1,0,0,Time_and_Date
DWORD_TO_STRB.bin,Structured Text,1,0,0,Str_Func
DWORD_TO_STRF.bin,Structured Text,1,0,0,Str_Func
DWORD_TO_STRH.bin,Structured Text,1,0,0,Str_Func
DWORD_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
DWORD_TO_TOD.bin,Structured Text,1,0,0,Time_and_Date
D_TRIG.bin,Structured Text,1,0,0,Pulse_Gen
D_TRUNC.bin,Structured Text,1,0,0,Mathematics
EASTER.bin,Structured Text,1,0,0,Time_and_Date
ELLIPSE_A.bin,Structured Text,1,0,0,Basic_Other_Func
ELLIPSE_C.bin,Structured Text,1,0,0,Basic_Other_Func
ENERGY.bin,Structured Text,1,0,0,Calculations
ERF.bin,Structured Text,1,0,0,Mathematics
ERFC.bin,Structured Text,1,0,0,Mathematics
ESR_COLLECT.bin,Structured Text,1,0,0,Basic_Other_Func
ESR_MON_B8.bin,Structured Text,1,0,0,Basic_Other_Func
ESR_MON_X8.bin,Structured Text,1,0,0,Basic_Other_Func
EVEN.bin,Structured Text,1,0,0,Mathematics
EVENTS.bin,Structured Text,1,0,0,Time_and_Date
EXP10.bin,Structured Text,1,0,0,Mathematics
EXPN.bin,Structured Text,1,0,0,Mathematics
FACT.bin,Structured Text,1,0,0,Mathematics
FADE.bin,Structured Text,1,0,0,Signal_Proc
FF_D2E.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_D4E.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_DRE.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_JKE.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_RSE.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FIB.bin,Structured Text,1,0,0,Mathematics
FIFO_16.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
FIFO_32.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
FILE_BLOCK.bin,Structured Text,0,1,0,Network_2
FILE_PATH_SPLIT.bin,Structured Text,0,1,0,Network_2
FILL.bin,Structured Text,1,0,0,Str_Func
FILTER_DW.bin,Structured Text,1,0,0,Signal_Proc
FILTER_I.bin,Structured Text,1,0,0,Signal_Proc
FILTER_MAV_DW.bin,Structured Text,1,0,0,Signal_Proc
FILTER_MAV_W.bin,Structured Text,1,0,0,Signal_Proc
FILTER_W.bin,Structured Text,1,0,0,Signal_Proc
FILTER_WAV.bin,Structured Text,1,0,0,Signal_Proc
FINDB.bin,Structured Text,1,0,0,Str_Func
FINDP.bin,Structured Text,1,0,0,Str_Func
FIX.bin,Structured Text,1,0,0,Str_Func
FLOOR.bin,Structured Text,1,0,0,Mathematics
FLOOR2.bin,Structured Text,1,0,0,Mathematics
FLOW_CONTROL.bin,Structured Text,1,0,0,Basic_Dev_Drivers
FLOW_CONTROL_4.bin,Structured Text,1,0,0,Basic_Dev_Drivers
FRACT.bin,Structured Text,1,0,0,Mathematics
FRMP_B.bin,Structured Text,1,0,0,Arithmetic_Func
FT_AVG.bin,Structured Text,1,0,0,Arithmetic_Func
FT_DERIV.bin,Structured Text,1,0,0,Ctrl_Mods
FT_IMP.bin,Structured Text,1,0,0,Ctrl_Mods
FT_MIN_MAX.bin,Structured Text,1,0,0,Arithmetic_Func
FT_PD.bin,Structured Text,1,0,0,Ctrl_Mods
FT_PDT1.bin,Structured Text,1,0,0,Ctrl_Mods
FT_PIDWL.bin,Structured Text,1,0,0,Ctrl_Mods
FT_PIWL.bin,Structured Text,1,0,0,Ctrl_Mods
FT_PROFILE.bin,Structured Text,1,0,0,Basic_Dev_Drivers
FT_PT1.bin,Structured Text,1,0,0,Ctrl_Mods
FT_RMP.bin,Structured Text,1,0,0,Arithmetic_Func
FT_TN16.bin,Structured Text,1,0,0,Ctrl_Mods
FT_TN64.bin,Structured Text,1,0,0,Ctrl_Mods
FT_TN8.bin,Structured Text,1,0,0,Ctrl_Mods
F_LAMP.bin,Structured Text,0,0,1,Building_Other_Func
F_LIN.bin,Structured Text,1,0,0,Arithmetic_Func
F_LIN2.bin,Structured Text,1,0,0,Arithmetic_Func
F_POLY.bin,Structured Text,1,0,0,Arithmetic_Func
F_POWER.bin,Structured Text,1,0,0,Arithmetic_Func
F_QUAD.bin,Structured Text,1,0,0,Arithmetic_Func
F_TO_C.bin,Structured Text,1,0,0,Calculations
F_TO_OM.bin,Structured Text,1,0,0,Calculations
F_TO_PT.bin,Structured Text,1,0,0,Calculations
GAMMA.bin,Structured Text,1,0,0,Mathematics
GAUSS.bin,Structured Text,1,0,0,Mathematics
GAUSSCD.bin,Structured Text,1,0,0,Mathematics
GCD.bin,Structured Text,1,0,0,Mathematics
GDF.bin,Structured Text,1,0,0,Mathematics
GEN_BIT.bin,Structured Text,1,0,0,Pulse_Gen
GEN_PULSE.bin,Structured Text,1,0,0,Signal_Gen
GEN_PW2.bin,Structured Text,1,0,0,Signal_Gen
GEN_RDM.bin,Structured Text,1,0,0,Signal_Gen
GEN_RDT.bin,Structured Text,1,0,0,Signal_Gen
GEN_RMP.bin,Structured Text,1,0,0,Signal_Gen
GEN_SIN.bin,Structured Text,1,0,0,Signal_Gen
GEN_SQ.bin,Structured Text,1,0,0,Pulse_Gen
GEN_SQR.bin,Structured Text,1,0,0,Signal_Gen
GEO_TO_DEG.bin,Structured Text,1,0,0,Calculations
GOLD.bin,Structured Text,1,0,0,Mathematics
GRAY_TO_BYTE.bin,Structured Text,1,0,0,Logic_Mods
HEAT_INDEX.bin,Structured Text,0,0,1,Actuators_HAVC
HEAT_TEMP.bin,Structured Text,0,0,1,Actuators_HAVC
HOLIDAY.bin,Structured Text,1,0,0,Time_and_Date
HOUR.bin,Structured Text,1,0,0,Time_and_Date
HOUR_OF_DT.bin,Structured Text,1,0,0,Time_and_Date
HOUR_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
HOUR_TO_TOD.bin,Structured Text,1,0,0,Time_and_Date
HYPOT.bin,Structured Text,1,0,0,Mathematics
HYST.bin,Structured Text,1,0,0,Ctrl_Mods
HYST_1.bin,Structured Text,1,0,0,Ctrl_Mods
HYST_2.bin,Structured Text,1,0,0,Ctrl_Mods
HYST_3.bin,Structured Text,1,0,0,Ctrl_Mods
INC.bin,Structured Text,1,0,0,Mathematics
INC1.bin,Structured Text,1,0,0,Mathematics
INC2.bin,Structured Text,1,0,0,Mathematics
INC_DEC.bin,Structured Text,1,0,0,Basic_Dev_Drivers
INSERT250.bin,Structured Text,1,0,0,Str_Func
INTERLOCK.bin,Structured Text,1,0,0,Basic_Dev_Drivers
INTERLOCK_4.bin,Structured Text,1,0,0,Basic_Dev_Drivers
INT_TO_BCDC.bin,Structured Text,1,0,0,Logic_Mods
INT_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
INV.bin,Structured Text,1,0,0,Mathematics
IP4_CHECK.bin,Structured Text,0,1,0,Network_2
IP4_TO_STRING.bin,Structured Text,0,1,0,Network_2
IP_FIFO.bin,Structured Text,0,1,0,Network_2
IRTRANS_DECODE.bin,Structured Text,0,1,0,Network_1
IRTRANS_RCV_1.bin,Structured Text,0,1,0,Network_1
IRTRANS_RCV_4.bin,Structured Text,0,1,0,Network_1
IRTRANS_RCV_8.bin,Structured Text,0,1,0,Network_1
IRTRANS_SERVER.bin,Structured Text,0,1,0,Network_1
ISC_ALPHA.bin,Structured Text,1,0,0,Str_Func
ISC_CTRL.bin,Structured Text,1,0,0,Str_Func
ISC_HEX.bin,Structured Text,1,0,0,Str_Func
ISC_LOWER.bin,Structured Text,1,0,0,Str_Func
ISC_NUM.bin,Structured Text,1,0,0,Str_Func
ISC_UPPER.bin,Structured Text,1,0,0,Str_Func
IS_CC.bin,Structured Text,1,0,0,Str_Func
IS_NCC.bin,Structured Text,1,0,0,Str_Func
IS_SORTED.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
IS_URLCHR.bin,Structured Text,0,1,0,Network_2
JD2000.bin,Structured Text,1,0,0,Time_and_Date
KMH_TO_MS.bin,Structured Text,1,0,0,Calculations
K_TO_C.bin,Structured Text,1,0,0,Calculations
LAMBERT_W.bin,Structured Text,1,0,0,Mathematics
LANGEVIN.bin,Structured Text,1,0,0,Mathematics
LEAP_DAY.bin,Structured Text,1,0,0,Time_and_Date
LEAP_OF_DATE.bin,Structured Text,1,0,0,Time_and_Date
LEAP_YEAR.bin,Structured Text,1,0,0,Time_and_Date
LEGIONELLA.bin,Structured Text,0,0,1,Actuators_HAVC
LENGTH.bin,Structured Text,1,0,0,Measure_Mods
LINEAR_INT.bin,Structured Text,1,0,0,Arithmetic_Func
LIST_ADD.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
LOG_VIEWPORT.bin,Structured Text,0,1,0,Network_2
LTCH.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
LTCH_4.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
LTIME_TO_UTC.bin,Structured Text,1,0,0,Time_and_Date
MANUAL.bin,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_1.bin,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_2.bin,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_4.bin,Structured Text,1,0,0,Basic_Dev_Drivers
MATRIX.bin,Structured Text,1,0,0,Logic_Mods
MAX3.bin,Structured Text,1,0,0,Mathematics
MAX_TIME.bin,Structured Text,1,0,0,Measure_Mods
MB_CLIENT.bin,Structured Text,0,1,0,Network_2
MB_SERVER.bin,Structured Text,0,1,0,Network_2
MB_VMAP.bin,Structured Text,0,1,0,Network_2
MESSAGE_4R.bin,Structured Text,1,0,0,Str_Func
MESSAGE_8.bin,Structured Text,1,0,0,Str_Func
MID3.bin,Structured Text,1,0,0,Mathematics
MIN3.bin,Structured Text,1,0,0,Mathematics
MINUTE.bin,Structured Text,1,0,0,Time_and_Date
MINUTE_OF_DT.bin,Structured Text,1,0,0,Time_and_Date
MINUTE_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
MIRROR.bin,Structured Text,1,0,0,Str_Func
MIX.bin,Structured Text,1,0,0,Signal_Proc
MODR.bin,Structured Text,1,0,0,Mathematics
MONTH_BEGIN.bin,Structured Text,1,0,0,Time_and_Date
MONTH_END.bin,Structured Text,1,0,0,Time_and_Date
MONTH_OF_DATE.bin,Structured Text,1,0,0,Time_and_Date
MONTH_TO_STRING.bin,Structured Text,1,0,0,Str_Func
MOON_PHASE.bin,Structured Text,0,1,0,Network_2
MS_TO_BFT.bin,Structured Text,1,0,0,Calculations
MS_TO_KMH.bin,Structured Text,1,0,0,Calculations
MULTIME.bin,Structured Text,1,0,0,Time_and_Date
MULTI_IN.bin,Structured Text,1,0,0,Sensors
MUL_ADD.bin,Structured Text,1,0,0,Mathematics
MUX_2.bin,Structured Text,1,0,0,Logic_Mods
MUX_4.bin,Structured Text,1,0,0,Logic_Mods
MUX_R2.bin,Structured Text,1,0,0,Signal_Proc
MUX_R4.bin,Structured Text,1,0,0,Signal_Proc
M_D.bin,Structured Text,1,0,0,Measure_Mods
M_T.bin,Structured Text,1,0,0,Measure_Mods
M_TX.bin,Structured Text,1,0,0,Measure_Mods
NEGX.bin,Structured Text,1,0,0,Mathematics
NETWORK_VERSION.bin,Structured Text,0,1,0,Network_2
NET_VAR_BOOL8.bin,Structured Text,0,1,0,Network_2
NET_VAR_BUFFER.bin,Structured Text,0,1,0,Network_2
NET_VAR_DWORD8.bin,Structured Text,0,1,0,Network_2
OFFSET.bin,Structured Text,1,0,0,Signal_Proc
OFFSET2.bin,Structured Text,1,0,0,Signal_Proc
OM_TO_F.bin,Structured Text,1,0,0,Calculations
ONTIME.bin,Structured Text,1,0,0,Measure_Mods
OSCAT_VERSION.bin,Structured Text,1,0,0,Basic_Other_Func
PARITY.bin,Structured Text,1,0,0,Logic_Mods
PARSET.bin,Structured Text,1,0,0,Basic_Dev_Drivers
PARSET2.bin,Structured Text,1,0,0,Basic_Dev_Drivers
PERIOD.bin,Structured Text,1,0,0,Time_and_Date
PERIOD2.bin,Structured Text,1,0,0,Time_and_Date
POLYNOM_INT.bin,Structured Text,1,0,0,Arithmetic_Func
PRESSURE.bin,Structured Text,1,0,0,Calculations
PT_TO_F.bin,Structured Text,1,0,0,Calculations
PULSE_LENGTH.bin,Structured Text,0,0,1,Building_Other_Func
PULSE_T.bin,Structured Text,0,0,1,Building_Other_Func
PWM_DC.bin,Structured Text,1,0,0,Signal_Gen
PWM_PW.bin,Structured Text,1,0,0,Signal_Gen
R2_ABS.bin,Structured Text,1,0,0,Basic_Other_Func
R2_ADD.bin,Structured Text,1,0,0,Basic_Other_Func
R2_ADD2.bin,Structured Text,1,0,0,Basic_Other_Func
R2_DIV.bin,Structured Text,1,0,0,Basic_Other_Func
R2_MUL.bin,Structured Text,1,0,0,Basic_Other_Func
R2_SET.bin,Structured Text,1,0,0,Basic_Other_Func
RAD.bin,Structured Text,1,0,0,Mathematics
RANGE_TO_BYTE.bin,Structured Text,1,0,0,Signal_Proc
RANGE_TO_WORD.bin,Structured Text,1,0,0,Signal_Proc
RDM.bin,Structured Text,1,0,0,Mathematics
RDM2.bin,Structured Text,1,0,0,Mathematics
RDMDW.bin,Structured Text,1,0,0,Mathematics
REAL_TO_FRAC.bin,Structured Text,1,0,0,Mathematics
REAL_TO_STRF.bin,Structured Text,1,0,0,Str_Func
REAL_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
REFLECT.bin,Structured Text,1,0,0,Logic_Mods
REFRACTION.bin,Structured Text,1,0,0,Time_and_Date
REPLACE_ALL.bin,Structured Text,1,0,0,Str_Func
REPLACE_CHARS.bin,Structured Text,1,0,0,Str_Func
RES_NI.bin,Structured Text,1,0,0,Sensors
RES_NTC.bin,Structured Text,1,0,0,Sensors
RES_PT.bin,Structured Text,1,0,0,Sensors
RES_SI.bin,Structured Text,1,0,0,Sensors
REVERSE.bin,Structured Text,1,0,0,Logic_Mods
RMP_B.bin,Structured Text,1,0,0,Signal_Gen
RMP_SOFT.bin,Structured Text,1,0,0,Signal_Gen
RMP_W.bin,Structured Text,1,0,0,Signal_Gen
RND.bin,Structured Text,1,0,0,Mathematics
ROUND.bin,Structured Text,1,0,0,Mathematics
RTC_2.bin,Structured Text,1,0,0,Time_and_Date
RTC_MS.bin,Structured Text,1,0,0,Time_and_Date
SCALE.bin,Structured Text,1,0,0,Signal_Proc
SCALE_B.bin,Structured Text,1,0,0,Signal_Proc
SCALE_B2.bin,Structured Text,1,0,0,Signal_Proc
SCALE_B4.bin,Structured Text,1,0,0,Signal_Proc
SCALE_B8.bin,Structured Text,1,0,0,Signal_Proc
SCALE_D.bin,Structured Text,1,0,0,Signal_Proc
SCALE_R.bin,Structured Text,1,0,0,Signal_Proc
SCALE_X2.bin,Structured Text,1,0,0,Signal_Proc
SCALE_X4.bin,Structured Text,1,0,0,Signal_Proc
SCALE_X8.bin,Structured Text,1,0,0,Signal_Proc
SCHEDULER.bin,Structured Text,1,0,0,Pulse_Gen
SCHEDULER_2.bin,Structured Text,1,0,0,Pulse_Gen
SDD.bin,Structured Text,0,0,1,Actuators_HAVC
SDD_NH3.bin,Structured Text,0,0,1,Actuators_HAVC
SDT_NH3.bin,Structured Text,0,0,1,Actuators_HAVC
SDT_TO_DATE.bin,Structured Text,1,0,0,Time_and_Date
SDT_TO_DT.bin,Structured Text,1,0,0,Time_and_Date
SDT_TO_TOD.bin,Structured Text,1,0,0,Time_and_Date
SECOND.bin,Structured Text,1,0,0,Time_and_Date
SECOND_OF_DT.bin,Structured Text,1,0,0,Time_and_Date
SECOND_TO_TIME.bin,Structured Text,1,0,0,Time_and_Date
SEL2_OF_3.bin,Structured Text,1,0,0,Signal_Proc
SEL2_OF_3B.bin,Structured Text,1,0,0,Signal_Proc
SELECT_8.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
SENSOR_INT.bin,Structured Text,1,0,0,Sensors
SEQUENCE_4.bin,Structured Text,1,0,0,Pulse_Gen
SEQUENCE_64.bin,Structured Text,1,0,0,Pulse_Gen
SEQUENCE_8.bin,Structured Text,1,0,0,Pulse_Gen
