OpenPLCv3 Binaries,Program Language,Basic,Network,Building,FuncLabels
CABS.exe,Structured Text,1,0,0,Complex_Math
CACOS.exe,Structured Text,1,0,0,Complex_Math
CACOSH.exe,Structured Text,1,0,0,Complex_Math
CADD.exe,Structured Text,1,0,0,Complex_Math
CALENDAR_CALC.exe,Structured Text,1,0,0,Time_and_Date
CALIBRATE.exe,Structured Text,1,0,0,Measure_Mods
CARG.exe,Structured Text,1,0,0,Complex_Math
CASIN.exe,Structured Text,1,0,0,Complex_Math
CASINH.exe,Structured Text,1,0,0,Complex_Math
CATAN.exe,Structured Text,1,0,0,Complex_Math
CATANH.exe,Structured Text,1,0,0,Complex_Math
CAUCHY.exe,Structured Text,1,0,0,Mathematics
CAUCHYCD.exe,Structured Text,1,0,0,Mathematics
CCON.exe,Structured Text,1,0,0,Complex_Math
CCOS.exe,Structured Text,1,0,0,Complex_Math
CCOSH.exe,Structured Text,1,0,0,Complex_Math
CDIV.exe,Structured Text,1,0,0,Complex_Math
CEIL.exe,Structured Text,1,0,0,Mathematics
CEIL2.exe,Structured Text,1,0,0,Mathematics
CEXP.exe,Structured Text,1,0,0,Complex_Math
CHARNAME.exe,Structured Text,1,0,0,Str_Func
CHECK_PARITY.exe,Structured Text,1,0,0,Logic_Mods
CHR_TO_STRING.exe,Structured Text,1,0,0,Str_Func
CINV.exe,Structured Text,1,0,0,Complex_Math
CIRCLE_A.exe,Structured Text,1,0,0,Basic_Other_Func
CIRCLE_C.exe,Structured Text,1,0,0,Basic_Other_Func
CIRCLE_SEG.exe,Structured Text,1,0,0,Basic_Other_Func
CLEAN.exe,Structured Text,1,0,0,Str_Func
CLICK.exe,Structured Text,0,0,1,Building_Other_Func
CLICK_CNT.exe,Structured Text,1,0,0,Pulse_Gen
CLICK_DEC.exe,Structured Text,1,0,0,Pulse_Gen
CLICK_MODE.exe,Structured Text,0,0,1,Building_Other_Func
CLK_DIV.exe,Structured Text,1,0,0,Pulse_Gen
CLK_N.exe,Structured Text,1,0,0,Pulse_Gen
CLK_PRG.exe,Structured Text,1,0,0,Pulse_Gen
CLK_PULSE.exe,Structured Text,1,0,0,Pulse_Gen
CLOG.exe,Structured Text,1,0,0,Complex_Math
CMP.exe,Structured Text,1,0,0,Mathematics
CMUL.exe,Structured Text,1,0,0,Complex_Math
CONE_V.exe,Structured Text,1,0,0,Basic_Other_Func
CONTROL_SET1.exe,Structured Text,1,0,0,Ctrl_Mods
CONTROL_SET2.exe,Structured Text,1,0,0,Ctrl_Mods
COSH.exe,Structured Text,1,0,0,Mathematics
COTH.exe,Structured Text,1,0,0,Mathematics
COUNT_BR.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
COUNT_DR.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
COUNT_SUBSTRING.exe,Structured Text,1,0,0,Str_Func
CPOL.exe,Structured Text,1,0,0,Complex_Math
CPOW.exe,Structured Text,1,0,0,Complex_Math
CRC_GEN.exe,Structured Text,1,0,0,Logic_Mods
CSET.exe,Structured Text,1,0,0,Complex_Math
CSIN.exe,Structured Text,1,0,0,Complex_Math
CSINH.exe,Structured Text,1,0,0,Complex_Math
CSQRT.exe,Structured Text,1,0,0,Complex_Math
CSUB.exe,Structured Text,1,0,0,Complex_Math
CTAN.exe,Structured Text,1,0,0,Complex_Math
CTANH.exe,Structured Text,1,0,0,Complex_Math
CTRL_IN.exe,Structured Text,1,0,0,Ctrl_Mods
CTRL_OUT.exe,Structured Text,1,0,0,Ctrl_Mods
CTRL_PI.exe,Structured Text,1,0,0,Ctrl_Mods
CTRL_PID.exe,Structured Text,1,0,0,Ctrl_Mods
CTRL_PWM.exe,Structured Text,1,0,0,Ctrl_Mods
CYCLE_4.exe,Structured Text,1,0,0,Pulse_Gen
CYCLE_TIME.exe,Structured Text,1,0,0,Measure_Mods
C_TO_F.exe,Structured Text,1,0,0,Calculations
C_TO_K.exe,Structured Text,1,0,0,Calculations
DATE_ADD.exe,Structured Text,1,0,0,Time_and_Date
DATE_TO_DT.exe,Structured Text,1,0,0,Time_and_Date
DATE_TO_DWORD.exe,Structured Text,1,0,0,Time_and_Date
DATE_TO_REAL.exe,Structured Text,1,0,0,Time_and_Date
DATE_TO_STRING.exe,Structured Text,1,0,0,Str_Func
DATE_TO_UDINT.exe,Structured Text,1,0,0,Time_and_Date
DAYS_DELTA.exe,Structured Text,1,0,0,Time_and_Date
DAYS_IN_MONTH.exe,Structured Text,1,0,0,Time_and_Date
DAYS_IN_YEAR.exe,Structured Text,1,0,0,Time_and_Date
DAY_OF_DATE.exe,Structured Text,1,0,0,Time_and_Date
DAY_OF_MONTH.exe,Structured Text,1,0,0,Time_and_Date
DAY_OF_WEEK.exe,Structured Text,1,0,0,Time_and_Date
DAY_OF_YEAR.exe,Structured Text,1,0,0,Time_and_Date
DAY_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
DCF77.exe,Structured Text,1,0,0,Time_and_Date
DEAD_BAND.exe,Structured Text,1,0,0,Ctrl_Mods
DEAD_BAND_A.exe,Structured Text,1,0,0,Ctrl_Mods
DEAD_ZONE.exe,Structured Text,1,0,0,Ctrl_Mods
DEAD_ZONE2.exe,Structured Text,1,0,0,Ctrl_Mods
DEBOUNCE.exe,Structured Text,0,0,1,Building_Other_Func
DEC1.exe,Structured Text,1,0,0,Mathematics
DEC_2.exe,Structured Text,1,0,0,Logic_Mods
DEC_4.exe,Structured Text,1,0,0,Logic_Mods
DEC_8.exe,Structured Text,1,0,0,Logic_Mods
DEG.exe,Structured Text,1,0,0,Mathematics
DEG_TO_DIR.exe,Structured Text,1,0,0,Calculations
DELAY.exe,Structured Text,1,0,0,Signal_Proc
DELAY_4.exe,Structured Text,1,0,0,Signal_Proc
DEL_CHARS.exe,Structured Text,1,0,0,Str_Func
DEW_CON.exe,Structured Text,0,0,1,Actuators_HAVC
DEW_RH.exe,Structured Text,0,0,1,Actuators_HAVC
DEW_TEMP.exe,Structured Text,0,0,1,Actuators_HAVC
DIFFER.exe,Structured Text,1,0,0,Mathematics
DIMM_2.exe,Structured Text,0,0,1,Building_Other_Func
DIMM_I.exe,Structured Text,0,0,1,Building_Other_Func
DIR_TO_DEG.exe,Structured Text,1,0,0,Calculations
DRIVER_1.exe,Structured Text,1,0,0,Basic_Dev_Drivers
DRIVER_4.exe,Structured Text,1,0,0,Basic_Dev_Drivers
DRIVER_4C.exe,Structured Text,1,0,0,Basic_Dev_Drivers
DST.exe,Structured Text,1,0,0,Time_and_Date
DT2_TO_SDT.exe,Structured Text,1,0,0,Time_and_Date
DT_SIMU.exe,Structured Text,1,0,0,Measure_Mods
DT_TO_SDT.exe,Structured Text,1,0,0,Time_and_Date
DT_TO_STRING.exe,Structured Text,1,0,0,Str_Func
DT_TO_TOD.exe,Structured Text,1,0,0,Time_and_Date
DWORD_OF_BYTE.exe,Structured Text,1,0,0,Logic_Mods
DWORD_OF_WORD.exe,Structured Text,1,0,0,Logic_Mods
DWORD_TO_DATE.exe,Structured Text,1,0,0,Time_and_Date
DWORD_TO_DT.exe,Structured Text,1,0,0,Time_and_Date
DWORD_TO_STRB.exe,Structured Text,1,0,0,Str_Func
DWORD_TO_STRF.exe,Structured Text,1,0,0,Str_Func
DWORD_TO_STRH.exe,Structured Text,1,0,0,Str_Func
DWORD_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
DWORD_TO_TOD.exe,Structured Text,1,0,0,Time_and_Date
D_TRIG.exe,Structured Text,1,0,0,Pulse_Gen
D_TRUNC.exe,Structured Text,1,0,0,Mathematics
EASTER.exe,Structured Text,1,0,0,Time_and_Date
ELLIPSE_A.exe,Structured Text,1,0,0,Basic_Other_Func
ELLIPSE_C.exe,Structured Text,1,0,0,Basic_Other_Func
ENERGY.exe,Structured Text,1,0,0,Calculations
ERF.exe,Structured Text,1,0,0,Mathematics
ERFC.exe,Structured Text,1,0,0,Mathematics
ESR_COLLECT.exe,Structured Text,1,0,0,Basic_Other_Func
ESR_MON_B8.exe,Structured Text,1,0,0,Basic_Other_Func
ESR_MON_X8.exe,Structured Text,1,0,0,Basic_Other_Func
EVEN.exe,Structured Text,1,0,0,Mathematics
EVENTS.exe,Structured Text,1,0,0,Time_and_Date
EXP10.exe,Structured Text,1,0,0,Mathematics
EXPN.exe,Structured Text,1,0,0,Mathematics
FACT.exe,Structured Text,1,0,0,Mathematics
FADE.exe,Structured Text,1,0,0,Signal_Proc
FF_D2E.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_D4E.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_DRE.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_JKE.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FF_RSE.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
FIB.exe,Structured Text,1,0,0,Mathematics
FIFO_16.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
FIFO_32.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
FILE_BLOCK.exe,Structured Text,0,1,0,Network_2
FILE_PATH_SPLIT.exe,Structured Text,0,1,0,Network_2
FILL.exe,Structured Text,1,0,0,Str_Func
FILTER_DW.exe,Structured Text,1,0,0,Signal_Proc
FILTER_I.exe,Structured Text,1,0,0,Signal_Proc
FILTER_MAV_DW.exe,Structured Text,1,0,0,Signal_Proc
FILTER_MAV_W.exe,Structured Text,1,0,0,Signal_Proc
FILTER_W.exe,Structured Text,1,0,0,Signal_Proc
FILTER_WAV.exe,Structured Text,1,0,0,Signal_Proc
FINDB.exe,Structured Text,1,0,0,Str_Func
FINDP.exe,Structured Text,1,0,0,Str_Func
FIX.exe,Structured Text,1,0,0,Str_Func
FLOOR.exe,Structured Text,1,0,0,Mathematics
FLOOR2.exe,Structured Text,1,0,0,Mathematics
FLOW_CONTROL.exe,Structured Text,1,0,0,Basic_Dev_Drivers
FLOW_CONTROL_4.exe,Structured Text,1,0,0,Basic_Dev_Drivers
FLOW_METER.exe,Structured Text,1,0,0,Measure_Mods
FRACT.exe,Structured Text,1,0,0,Mathematics
FRMP_B.exe,Structured Text,1,0,0,Arithmetic_Func
FT_AVG.exe,Structured Text,1,0,0,Arithmetic_Func
FT_DERIV.exe,Structured Text,1,0,0,Ctrl_Mods
FT_IMP.exe,Structured Text,1,0,0,Ctrl_Mods
FT_INT.exe,Structured Text,1,0,0,Ctrl_Mods
FT_INT2.exe,Structured Text,1,0,0,Ctrl_Mods
FT_MIN_MAX.exe,Structured Text,1,0,0,Arithmetic_Func
FT_PD.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PDT1.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PI.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PID.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PIDW.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PIDWL.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PIW.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PIWL.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PROFILE.exe,Structured Text,1,0,0,Basic_Dev_Drivers
FT_PT1.exe,Structured Text,1,0,0,Ctrl_Mods
FT_PT2.exe,Structured Text,1,0,0,Ctrl_Mods
FT_RMP.exe,Structured Text,1,0,0,Arithmetic_Func
FT_TN16.exe,Structured Text,1,0,0,Ctrl_Mods
FT_TN64.exe,Structured Text,1,0,0,Ctrl_Mods
FT_TN8.exe,Structured Text,1,0,0,Ctrl_Mods
F_LAMP.exe,Structured Text,0,0,1,Building_Other_Func
F_LIN.exe,Structured Text,1,0,0,Arithmetic_Func
F_LIN2.exe,Structured Text,1,0,0,Arithmetic_Func
F_POLY.exe,Structured Text,1,0,0,Arithmetic_Func
F_POWER.exe,Structured Text,1,0,0,Arithmetic_Func
F_QUAD.exe,Structured Text,1,0,0,Arithmetic_Func
F_TO_C.exe,Structured Text,1,0,0,Calculations
F_TO_OM.exe,Structured Text,1,0,0,Calculations
F_TO_PT.exe,Structured Text,1,0,0,Calculations
GAMMA.exe,Structured Text,1,0,0,Mathematics
GAUSS.exe,Structured Text,1,0,0,Mathematics
GAUSSCD.exe,Structured Text,1,0,0,Mathematics
GCD.exe,Structured Text,1,0,0,Mathematics
GDF.exe,Structured Text,1,0,0,Mathematics
GEN_BIT.exe,Structured Text,1,0,0,Pulse_Gen
GEN_PULSE.exe,Structured Text,1,0,0,Signal_Gen
GEN_PW2.exe,Structured Text,1,0,0,Signal_Gen
GEN_RDM.exe,Structured Text,1,0,0,Signal_Gen
GEN_RDT.exe,Structured Text,1,0,0,Signal_Gen
GEN_RMP.exe,Structured Text,1,0,0,Signal_Gen
GEN_SIN.exe,Structured Text,1,0,0,Signal_Gen
GEN_SQ.exe,Structured Text,1,0,0,Pulse_Gen
GEN_SQR.exe,Structured Text,1,0,0,Signal_Gen
GEO_TO_DEG.exe,Structured Text,1,0,0,Calculations
GOLD.exe,Structured Text,1,0,0,Mathematics
GRAY_TO_BYTE.exe,Structured Text,1,0,0,Logic_Mods
HEAT_INDEX.exe,Structured Text,0,0,1,Actuators_HAVC
HEAT_METER.exe,Structured Text,0,0,1,Actuators_HAVC
HEAT_TEMP.exe,Structured Text,0,0,1,Actuators_HAVC
HOLIDAY.exe,Structured Text,1,0,0,Time_and_Date
HOUR.exe,Structured Text,1,0,0,Time_and_Date
HOUR_OF_DT.exe,Structured Text,1,0,0,Time_and_Date
HOUR_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
HOUR_TO_TOD.exe,Structured Text,1,0,0,Time_and_Date
HYPOT.exe,Structured Text,1,0,0,Mathematics
HYST.exe,Structured Text,1,0,0,Ctrl_Mods
HYST_1.exe,Structured Text,1,0,0,Ctrl_Mods
HYST_2.exe,Structured Text,1,0,0,Ctrl_Mods
HYST_3.exe,Structured Text,1,0,0,Ctrl_Mods
INC.exe,Structured Text,1,0,0,Mathematics
INC1.exe,Structured Text,1,0,0,Mathematics
INC2.exe,Structured Text,1,0,0,Mathematics
INC_DEC.exe,Structured Text,1,0,0,Basic_Dev_Drivers
INSERT250.exe,Structured Text,1,0,0,Str_Func
INTEGRATE.exe,Structured Text,1,0,0,Ctrl_Mods
INTERLOCK.exe,Structured Text,1,0,0,Basic_Dev_Drivers
INTERLOCK_4.exe,Structured Text,1,0,0,Basic_Dev_Drivers
INT_TO_BCDC.exe,Structured Text,1,0,0,Logic_Mods
INT_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
INV.exe,Structured Text,1,0,0,Mathematics
IP4_CHECK.exe,Structured Text,0,1,0,Network_2
IP4_TO_STRING.exe,Structured Text,0,1,0,Network_2
IP_FIFO.exe,Structured Text,0,1,0,Network_2
IRTRANS_DECODE.exe,Structured Text,0,1,0,Network_1
IRTRANS_RCV_1.exe,Structured Text,0,1,0,Network_1
IRTRANS_RCV_4.exe,Structured Text,0,1,0,Network_1
IRTRANS_RCV_8.exe,Structured Text,0,1,0,Network_1
IRTRANS_SERVER.exe,Structured Text,0,1,0,Network_1
ISC_ALPHA.exe,Structured Text,1,0,0,Str_Func
ISC_CTRL.exe,Structured Text,1,0,0,Str_Func
ISC_HEX.exe,Structured Text,1,0,0,Str_Func
ISC_LOWER.exe,Structured Text,1,0,0,Str_Func
ISC_NUM.exe,Structured Text,1,0,0,Str_Func
ISC_UPPER.exe,Structured Text,1,0,0,Str_Func
IS_CC.exe,Structured Text,1,0,0,Str_Func
IS_NCC.exe,Structured Text,1,0,0,Str_Func
IS_SORTED.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
IS_URLCHR.exe,Structured Text,0,1,0,Network_2
JD2000.exe,Structured Text,1,0,0,Time_and_Date
KMH_TO_MS.exe,Structured Text,1,0,0,Calculations
K_TO_C.exe,Structured Text,1,0,0,Calculations
LAMBERT_W.exe,Structured Text,1,0,0,Mathematics
LANGEVIN.exe,Structured Text,1,0,0,Mathematics
LEAP_DAY.exe,Structured Text,1,0,0,Time_and_Date
LEAP_OF_DATE.exe,Structured Text,1,0,0,Time_and_Date
LEAP_YEAR.exe,Structured Text,1,0,0,Time_and_Date
LEGIONELLA.exe,Structured Text,0,0,1,Actuators_HAVC
LENGTH.exe,Structured Text,1,0,0,Measure_Mods
LINEAR_INT.exe,Structured Text,1,0,0,Arithmetic_Func
LIST_ADD.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
LOG_VIEWPORT.exe,Structured Text,0,1,0,Network_2
LTCH.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
LTCH_4.exe,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
LTIME_TO_UTC.exe,Structured Text,1,0,0,Time_and_Date
MANUAL.exe,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_1.exe,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_2.exe,Structured Text,1,0,0,Basic_Dev_Drivers
MANUAL_4.exe,Structured Text,1,0,0,Basic_Dev_Drivers
MATRIX.exe,Structured Text,1,0,0,Logic_Mods
MAX3.exe,Structured Text,1,0,0,Mathematics
MAX_TIME.exe,Structured Text,1,0,0,Measure_Mods
MB_CLIENT.exe,Structured Text,0,1,0,Network_2
MB_SERVER.exe,Structured Text,0,1,0,Network_2
MB_VMAP.exe,Structured Text,0,1,0,Network_2
MESSAGE_4R.exe,Structured Text,1,0,0,Str_Func
MESSAGE_8.exe,Structured Text,1,0,0,Str_Func
METER.exe,Structured Text,1,0,0,Measure_Mods
METER_STAT.exe,Structured Text,1,0,0,Measure_Mods
MID3.exe,Structured Text,1,0,0,Mathematics
MIN3.exe,Structured Text,1,0,0,Mathematics
MINUTE.exe,Structured Text,1,0,0,Time_and_Date
MINUTE_OF_DT.exe,Structured Text,1,0,0,Time_and_Date
MINUTE_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
MIRROR.exe,Structured Text,1,0,0,Str_Func
MIX.exe,Structured Text,1,0,0,Signal_Proc
MODR.exe,Structured Text,1,0,0,Mathematics
MONTH_BEGIN.exe,Structured Text,1,0,0,Time_and_Date
MONTH_END.exe,Structured Text,1,0,0,Time_and_Date
MONTH_OF_DATE.exe,Structured Text,1,0,0,Time_and_Date
MONTH_TO_STRING.exe,Structured Text,1,0,0,Str_Func
MOON_PHASE.exe,Structured Text,0,1,0,Network_2
MS_TO_BFT.exe,Structured Text,1,0,0,Calculations
MS_TO_KMH.exe,Structured Text,1,0,0,Calculations
MULTIME.exe,Structured Text,1,0,0,Time_and_Date
MULTI_IN.exe,Structured Text,1,0,0,Sensors
MUL_ADD.exe,Structured Text,1,0,0,Mathematics
MUX_2.exe,Structured Text,1,0,0,Logic_Mods
MUX_4.exe,Structured Text,1,0,0,Logic_Mods
MUX_R2.exe,Structured Text,1,0,0,Signal_Proc
MUX_R4.exe,Structured Text,1,0,0,Signal_Proc
M_D.exe,Structured Text,1,0,0,Measure_Mods
M_T.exe,Structured Text,1,0,0,Measure_Mods
M_TX.exe,Structured Text,1,0,0,Measure_Mods
NEGX.exe,Structured Text,1,0,0,Mathematics
NETWORK_VERSION.exe,Structured Text,0,1,0,Network_2
NET_VAR_BOOL8.exe,Structured Text,0,1,0,Network_2
NET_VAR_BUFFER.exe,Structured Text,0,1,0,Network_2
NET_VAR_DWORD8.exe,Structured Text,0,1,0,Network_2
OFFSET.exe,Structured Text,1,0,0,Signal_Proc
OFFSET2.exe,Structured Text,1,0,0,Signal_Proc
OM_TO_F.exe,Structured Text,1,0,0,Calculations
ONTIME.exe,Structured Text,1,0,0,Measure_Mods
OSCAT_VERSION.exe,Structured Text,1,0,0,Basic_Other_Func
PARITY.exe,Structured Text,1,0,0,Logic_Mods
PARSET.exe,Structured Text,1,0,0,Basic_Dev_Drivers
PARSET2.exe,Structured Text,1,0,0,Basic_Dev_Drivers
PERIOD.exe,Structured Text,1,0,0,Time_and_Date
PERIOD2.exe,Structured Text,1,0,0,Time_and_Date
POLYNOM_INT.exe,Structured Text,1,0,0,Arithmetic_Func
PRESSURE.exe,Structured Text,1,0,0,Calculations
PT_TO_F.exe,Structured Text,1,0,0,Calculations
PULSE_LENGTH.exe,Structured Text,0,0,1,Building_Other_Func
PULSE_T.exe,Structured Text,0,0,1,Building_Other_Func
PWM_DC.exe,Structured Text,1,0,0,Signal_Gen
PWM_PW.exe,Structured Text,1,0,0,Signal_Gen
R2_ABS.exe,Structured Text,1,0,0,Basic_Other_Func
R2_ADD.exe,Structured Text,1,0,0,Basic_Other_Func
R2_ADD2.exe,Structured Text,1,0,0,Basic_Other_Func
R2_DIV.exe,Structured Text,1,0,0,Basic_Other_Func
R2_MUL.exe,Structured Text,1,0,0,Basic_Other_Func
R2_SET.exe,Structured Text,1,0,0,Basic_Other_Func
RAD.exe,Structured Text,1,0,0,Mathematics
RANGE_TO_BYTE.exe,Structured Text,1,0,0,Signal_Proc
RANGE_TO_WORD.exe,Structured Text,1,0,0,Signal_Proc
RDM.exe,Structured Text,1,0,0,Mathematics
RDM2.exe,Structured Text,1,0,0,Mathematics
RDMDW.exe,Structured Text,1,0,0,Mathematics
REAL_TO_FRAC.exe,Structured Text,1,0,0,Mathematics
REAL_TO_STRF.exe,Structured Text,1,0,0,Str_Func
REAL_TO_TIME.exe,Structured Text,1,0,0,Time_and_Date
REFLECT.exe,Structured Text,1,0,0,Logic_Mods
REFRACTION.exe,Structured Text,1,0,0,Time_and_Date
REPLACE_ALL.exe,Structured Text,1,0,0,Str_Func
REPLACE_CHARS.exe,Structured Text,1,0,0,Str_Func
RES_NI.exe,Structured Text,1,0,0,Sensors
RES_NTC.exe,Structured Text,1,0,0,Sensors
RES_PT.exe,Structured Text,1,0,0,Sensors
RES_SI.exe,Structured Text,1,0,0,Sensors
REVERSE.exe,Structured Text,1,0,0,Logic_Mods
RMP_B.exe,Structured Text,1,0,0,Signal_Gen
RMP_SOFT.exe,Structured Text,1,0,0,Signal_Gen
RMP_W.exe,Structured Text,1,0,0,Signal_Gen
RND.exe,Structured Text,1,0,0,Mathematics
ROUND.exe,Structured Text,1,0,0,Mathematics
RTC_2.exe,Structured Text,1,0,0,Time_and_Date
RTC_MS.exe,Structured Text,1,0,0,Time_and_Date
SCALE.exe,Structured Text,1,0,0,Signal_Proc
SCALE_B.exe,Structured Text,1,0,0,Signal_Proc
SCALE_B2.exe,Structured Text,1,0,0,Signal_Proc
SCALE_B4.exe,Structured Text,1,0,0,Signal_Proc
SCALE_B8.exe,Structured Text,1,0,0,Signal_Proc
SCALE_D.exe,Structured Text,1,0,0,Signal_Proc
SCALE_R.exe,Structured Text,1,0,0,Signal_Proc
SCALE_X2.exe,Structured Text,1,0,0,Signal_Proc
SCALE_X4.exe,Structured Text,1,0,0,Signal_Proc
