ProgramName,OpenPLCv2,OpenPLCv3,Codesys,GEB,FuncLabels,ProgramLang,Basic,Network_Communication,Building
BOILER,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
BUFFER_COMP,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
BUFFER_COMP_NW,1,1,0,1,Array_Buffer_Mem_List,Structured Text,0,1,0
BUILDING_VERSION,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BURNER,0,1,0,1,Actuators_HVAC,Structured Text,0,0,1
BYTE_OF_BIT,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BYTE_OF_DWORD,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BYTE_TO_BITS,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BYTE_TO_GRAY,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BYTE_TO_RANGE,1,1,1,1,Signal_Proc,Structured Text,1,0,0
BYTE_TO_STRB,1,1,1,1,Str_Func,Structured Text,1,0,0
BYTE_TO_STRH,1,1,1,1,Str_Func,Structured Text,1,0,0
BYTE_TO_TIME,1,1,0,1,Logic_Mods,Structured Text,1,0,0
B_TRIG,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CABS,1,1,1,1,Complex_Math,Structured Text,1,0,0
CACOS,1,1,1,1,Complex_Math,Structured Text,1,0,0
CACOSH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CADD,1,1,1,1,Complex_Math,Structured Text,1,0,0
CALENDAR_CALC,1,1,1,1,Time_and_Date,Structured Text,1,0,0
CALIBRATE,1,1,1,1,Measure_Mods,Structured Text,1,0,0
CARG,1,1,1,1,Complex_Math,Structured Text,1,0,0
CASIN,1,1,1,1,Complex_Math,Structured Text,1,0,0
CASINH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CATAN,1,1,1,1,Complex_Math,Structured Text,1,0,0
CATANH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CAUCHY,1,1,1,1,Mathematics,Structured Text,1,0,0
CAUCHYCD,1,1,1,1,Mathematics,Structured Text,1,0,0
CCON,1,1,1,1,Complex_Math,Structured Text,1,0,0
CCOS,1,1,1,1,Complex_Math,Structured Text,1,0,0
CCOSH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CDIV,1,1,1,1,Complex_Math,Structured Text,1,0,0
CEIL,1,1,1,1,Mathematics,Structured Text,1,0,0
CEIL2,1,1,1,1,Mathematics,Structured Text,1,0,0
CEXP,1,1,1,1,Complex_Math,Structured Text,1,0,0
CHARNAME,1,1,1,1,Str_Func,Structured Text,1,0,0
CHECK_PARITY,1,1,1,1,Logic_Mods,Structured Text,1,0,0
CHR_TO_STRING,1,1,1,1,Str_Func,Structured Text,1,0,0
CINV,1,1,1,1,Complex_Math,Structured Text,1,0,0
CIRCLE_A,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
CIRCLE_C,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
CIRCLE_SEG,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
CLEAN,1,1,1,1,Str_Func,Structured Text,1,0,0
CLICK,1,1,0,0,Building_Other_Func,Structured Text,0,0,1
CLICK_CNT,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLICK_DEC,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLICK_MODE,1,1,0,0,Building_Other_Func,Structured Text,0,0,1
CLK_DIV,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLK_N,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLK_PRG,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLK_PULSE,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CLOG,1,1,1,1,Complex_Math,Structured Text,1,0,0
CMP,1,1,1,1,Mathematics,Structured Text,1,0,0
CMUL,1,1,1,1,Complex_Math,Structured Text,1,0,0
CONE_V,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
CONTROL_SET1,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CONTROL_SET2,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
COSH,1,1,1,1,Mathematics,Structured Text,1,0,0
COTH,1,1,1,1,Mathematics,Structured Text,1,0,0
COUNT_BR,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
COUNT_DR,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
COUNT_SUBSTRING,1,1,1,1,Str_Func,Structured Text,1,0,0
CPOL,1,1,1,1,Complex_Math,Structured Text,1,0,0
CPOW,1,1,1,1,Complex_Math,Structured Text,1,0,0
CRC_GEN,1,1,1,1,Logic_Mods,Structured Text,1,0,0
CSET,1,1,1,1,Complex_Math,Structured Text,1,0,0
CSIN,1,1,1,1,Complex_Math,Structured Text,1,0,0
CSINH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CSQRT,1,1,1,1,Complex_Math,Structured Text,1,0,0
CSUB,1,1,1,1,Complex_Math,Structured Text,1,0,0
CTAN,1,1,1,1,Complex_Math,Structured Text,1,0,0
CTANH,1,1,1,1,Complex_Math,Structured Text,1,0,0
CTRL_IN,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CTRL_OUT,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CTRL_PI,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CTRL_PID,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CTRL_PWM,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
CYCLE_4,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
CYCLE_TIME,1,1,1,1,Measure_Mods,Structured Text,1,0,0
C_TO_F,1,1,1,1,Calculations,Structured Text,1,0,0
C_TO_K,1,1,1,1,Calculations,Structured Text,1,0,0
DATE_ADD,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DATE_TO_DT,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DATE_TO_DWORD,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DATE_TO_REAL,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DATE_TO_STRING,1,1,0,1,Str_Func,Structured Text,1,0,0
DATE_TO_UDINT,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DAYS_DELTA,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAYS_IN_MONTH,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAYS_IN_YEAR,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAY_OF_DATE,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAY_OF_MONTH,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAY_OF_WEEK,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAY_OF_YEAR,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DAY_TO_TIME,0,1,1,1,Time_and_Date,Structured Text,1,0,0
DCF77,0,1,1,1,Time_and_Date,Structured Text,1,0,0
DEAD_BAND,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
DEAD_BAND_A,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
DEAD_ZONE,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
DEAD_ZONE2,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
DEBOUNCE,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
1-Dec,1,1,1,1,Mathematics,Structured Text,1,0,0
DEC_2,1,1,1,1,Logic_Mods,Structured Text,1,0,0
DEC_4,1,1,1,1,Logic_Mods,Structured Text,1,0,0
DEC_8,1,1,1,1,Logic_Mods,Structured Text,1,0,0
DEG,1,1,1,1,Mathematics,Structured Text,1,0,0
DEG_TO_DIR,1,1,1,1,Calculations,Structured Text,1,0,0
DELAY,1,1,1,1,Signal_Proc,Structured Text,1,0,0
DELAY_4,1,1,1,1,Signal_Proc,Structured Text,1,0,0
DEL_CHARS,1,1,1,1,Str_Func,Structured Text,1,0,0
DEW_CON,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
DEW_RH,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
DEW_TEMP,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
DIFFER,1,1,1,1,Mathematics,Structured Text,1,0,0
DIMM_2,1,1,0,0,Building_Other_Func,Structured Text,0,0,1
DIMM_I,1,1,0,0,Building_Other_Func,Structured Text,0,0,1
DIR_TO_DEG,1,1,1,1,Calculations,Structured Text,1,0,0
DRIVER_1,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
DRIVER_4,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
DRIVER_4C,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
DST,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DT2_TO_SDT,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DT_SIMU,1,1,1,1,Measure_Mods,Structured Text,1,0,0
DT_TO_SDT,1,1,1,1,Time_and_Date,Structured Text,1,0,0
DT_TO_STRING,1,1,0,1,Str_Func,Structured Text,1,0,0
DT_TO_TOD,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DWORD_OF_BYTE,1,1,1,1,Logic_Mods,Structured Text,1,0,0
DWORD_OF_WORD,1,1,1,1,Logic_Mods,Structured Text,1,0,0
DWORD_TO_DATE,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DWORD_TO_DT,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DWORD_TO_STRB,1,1,1,1,Str_Func,Structured Text,1,0,0
DWORD_TO_STRF,1,1,1,1,Str_Func,Structured Text,1,0,0
DWORD_TO_STRH,1,1,1,1,Str_Func,Structured Text,1,0,0
DWORD_TO_TIME,1,1,0,1,Time_and_Date,Structured Text,1,0,0
DWORD_TO_TOD,1,1,0,1,Time_and_Date,Structured Text,1,0,0
D_TRIG,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
D_TRUNC,1,1,1,1,Mathematics,Structured Text,1,0,0
EASTER,1,1,1,1,Time_and_Date,Structured Text,1,0,0
ELLIPSE_A,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
ELLIPSE_C,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
ENERGY,1,1,1,1,Calculations,Structured Text,1,0,0
ERF,1,1,1,1,Mathematics,Structured Text,1,0,0
ERFC,1,1,1,1,Mathematics,Structured Text,1,0,0
ESR_COLLECT,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
ESR_MON_B8,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
ESR_MON_X8,1,1,1,1,Basic_Other_Func,Structured Text,1,0,0
EVEN,1,1,1,1,Mathematics,Structured Text,1,0,0
EVENTS,1,1,1,1,Time_and_Date,Structured Text,1,0,0
EXP10,1,1,1,1,Mathematics,Structured Text,1,0,0
EXPN,1,1,1,1,Mathematics,Structured Text,1,0,0
FACT,1,1,1,1,Mathematics,Structured Text,1,0,0
FADE,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FF_D2E,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
FF_D4E,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
FF_DRE,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
FF_JKE,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
FF_RSE,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
FIB,1,1,1,1,Mathematics,Structured Text,1,0,0
FIFO_16,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
FIFO_32,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
FILE_BLOCK,1,1,0,1,Network_Communication,Structured Text,0,1,0
FILE_PATH_SPLIT,1,1,0,1,Network_Communication,Structured Text,0,1,0
FILL,1,1,1,1,Str_Func,Structured Text,1,0,0
FILTER_DW,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FILTER_I,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FILTER_MAV_DW,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FILTER_MAV_W,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FILTER_W,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FILTER_WAV,1,1,1,1,Signal_Proc,Structured Text,1,0,0
FINDB,1,1,1,1,Str_Func,Structured Text,1,0,0
FINDP,1,1,1,1,Str_Func,Structured Text,1,0,0
FIX,1,1,1,1,Str_Func,Structured Text,1,0,0
FLOOR,1,1,1,1,Mathematics,Structured Text,1,0,0
FLOOR2,1,1,1,1,Mathematics,Structured Text,1,0,0
FLOW_CONTROL,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
FLOW_CONTROL_4,1,1,0,1,Basic_Dev_Drivers,Structured Text,1,0,0
FLOW_METER,1,1,1,0,Measure_Mods,Structured Text,1,0,0
FRACT,1,1,1,1,Mathematics,Structured Text,1,0,0
FRMP_B,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
FT_AVG,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
FT_DERIV,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_IMP,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_INT,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_INT2,0,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_MIN_MAX,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
FT_PD,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_PDT1,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_PI,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_PID,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_PIDW,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_PIDWL,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_PIW,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_PIWL,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_PROFILE,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
FT_PT1,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_PT2,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
FT_RMP,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
FT_TN16,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_TN64,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
FT_TN8,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
F_LAMP,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
F_LIN,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
F_LIN2,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
F_POLY,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
F_POWER,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
F_QUAD,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
F_TO_C,1,1,1,1,Calculations,Structured Text,1,0,0
F_TO_OM,1,1,1,1,Calculations,Structured Text,1,0,0
F_TO_PT,1,1,1,1,Calculations,Structured Text,1,0,0
GAMMA,1,1,1,1,Mathematics,Structured Text,1,0,0
GAUSS,1,1,1,1,Mathematics,Structured Text,1,0,0
GAUSSCD,1,1,1,1,Mathematics,Structured Text,1,0,0
GCD,1,1,1,1,Mathematics,Structured Text,1,0,0
GDF,1,1,1,1,Mathematics,Structured Text,1,0,0
GEN_BIT,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
GEN_PULSE,1,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_PW2,1,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_RDM,1,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_RDT,1,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_RMP,0,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_SIN,0,1,1,1,Signal_Gen,Structured Text,1,0,0
GEN_SQ,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
GEN_SQR,0,1,1,1,Signal_Gen,Structured Text,1,0,0
GEO_TO_DEG,1,1,1,1,Calculations,Structured Text,1,0,0
GOLD,1,1,1,1,Mathematics,Structured Text,1,0,0
GRAY_TO_BYTE,1,1,1,1,Logic_Mods,Structured Text,1,0,0
HEAT_INDEX,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
HEAT_METER,0,1,0,0,Actuators_HVAC,Structured Text,0,0,1
HEAT_TEMP,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
HOLIDAY,1,1,1,1,Time_and_Date,Structured Text,1,0,0
HOUR,1,1,1,1,Time_and_Date,Structured Text,1,0,0
HOUR_OF_DT,1,1,1,1,Time_and_Date,Structured Text,1,0,0
HOUR_TO_TIME,1,1,1,1,Time_and_Date,Structured Text,1,0,0
HOUR_TO_TOD,1,1,1,1,Time_and_Date,Structured Text,1,0,0
HYPOT,1,1,1,1,Mathematics,Structured Text,1,0,0
HYST,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
HYST_1,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
HYST_2,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
HYST_3,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
INC,1,1,1,1,Mathematics,Structured Text,1,0,0
INC1,1,1,1,1,Mathematics,Structured Text,1,0,0
INC2,1,1,1,1,Mathematics,Structured Text,1,0,0
INC_DEC,1,1,0,1,Basic_Dev_Drivers,Structured Text,1,0,0
INSERT250,1,1,0,1,Str_Func,Structured Text,1,0,0
INTEGRATE,1,1,1,0,Ctrl_Mods,Structured Text,1,0,0
INTERLOCK,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
INTERLOCK_4,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
INT_TO_BCDC,1,1,1,1,Logic_Mods,Structured Text,1,0,0
INT_TO_TIME,1,1,0,1,Time_and_Date,Structured Text,1,0,0
INV,1,1,1,1,Mathematics,Structured Text,1,0,0
IP4_CHECK,1,1,0,1,Network_Communication,Structured Text,0,1,0
IP4_TO_STRING,1,1,0,1,Network_Communication,Structured Text,0,1,0
IP_FIFO,0,1,0,1,Network_Communication,Structured Text,0,1,0
IRTRANS_DECODE,1,1,0,1,Networking,Structured Text,0,1,0
IRTRANS_RCV_1,1,1,0,1,Networking,Structured Text,0,1,0
IRTRANS_RCV_4,1,1,0,1,Networking,Structured Text,0,1,0
IRTRANS_RCV_8,1,1,0,1,Networking,Structured Text,0,1,0
IRTRANS_SERVER,1,1,0,1,Networking,Structured Text,0,1,0
ISC_ALPHA,1,1,1,1,Str_Func,Structured Text,1,0,0
ISC_CTRL,1,1,1,1,Str_Func,Structured Text,1,0,0
ISC_HEX,1,1,1,1,Str_Func,Structured Text,1,0,0
ISC_LOWER,1,1,1,1,Str_Func,Structured Text,1,0,0
ISC_NUM,1,1,1,1,Str_Func,Structured Text,1,0,0
ISC_UPPER,1,1,1,1,Str_Func,Structured Text,1,0,0
IS_CC,1,1,1,1,Str_Func,Structured Text,1,0,0
IS_NCC,1,1,1,1,Str_Func,Structured Text,1,0,0
IS_SORTED,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
IS_URLCHR,1,1,0,1,Network_Communication,Structured Text,0,1,0
JD2000,1,1,1,1,Time_and_Date,Structured Text,1,0,0
KMH_TO_MS,1,1,1,1,Calculations,Structured Text,1,0,0
K_TO_C,1,1,1,1,Calculations,Structured Text,1,0,0
LAMBERT_W,1,1,1,1,Mathematics,Structured Text,1,0,0
LANGEVIN,1,1,1,1,Mathematics,Structured Text,1,0,0
LEAP_DAY,1,1,1,1,Time_and_Date,Structured Text,1,0,0
LEAP_OF_DATE,1,1,1,1,Time_and_Date,Structured Text,1,0,0
LEAP_YEAR,1,1,1,1,Time_and_Date,Structured Text,1,0,0
LEGIONELLA,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
LENGTH,1,1,1,1,Measure_Mods,Structured Text,1,0,0
LINEAR_INT,1,1,1,1,Arithmetic_Func,Structured Text,1,0,0
LIST_ADD,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
LOG_VIEWPORT,1,1,0,1,Network_Communication,Structured Text,0,1,0
LTCH,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
LTCH_4,1,1,1,1,Latches_FlipFlop_ShiftReg,Structured Text,1,0,0
LTIME_TO_UTC,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MANUAL,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
MANUAL_1,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
MANUAL_2,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
MANUAL_4,1,1,1,1,Basic_Dev_Drivers,Structured Text,1,0,0
MATRIX,1,1,1,1,Logic_Mods,Structured Text,1,0,0
MAX3,1,1,1,1,Mathematics,Structured Text,1,0,0
MAX_TIME,1,1,0,1,Measure_Mods,Structured Text,1,0,0
MB_CLIENT,1,1,0,1,Network_Communication,Structured Text,0,1,0
MB_SERVER,1,1,0,1,Network_Communication,Structured Text,0,1,0
MB_VMAP,1,1,0,1,Network_Communication,Structured Text,0,1,0
MESSAGE_4R,1,1,1,1,Str_Func,Structured Text,1,0,0
MESSAGE_8,1,1,1,1,Str_Func,Structured Text,1,0,0
METER,1,1,1,0,Measure_Mods,Structured Text,1,0,0
METER_STAT,1,1,1,0,Measure_Mods,Structured Text,1,0,0
MID3,1,1,1,1,Mathematics,Structured Text,1,0,0
MIN3,1,1,1,1,Mathematics,Structured Text,1,0,0
MINUTE,1,1,0,1,Time_and_Date,Structured Text,1,0,0
MINUTE_OF_DT,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MINUTE_TO_TIME,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MIRROR,1,1,1,1,Str_Func,Structured Text,1,0,0
MIX,1,1,1,1,Signal_Proc,Structured Text,1,0,0
MODR,1,1,1,1,Mathematics,Structured Text,1,0,0
MONTH_BEGIN,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MONTH_END,0,1,1,1,Time_and_Date,Structured Text,1,0,0
MONTH_OF_DATE,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MONTH_TO_STRING,1,1,1,1,Str_Func,Structured Text,1,0,0
MOON_PHASE,1,1,0,1,Network_Communication,Structured Text,0,1,0
MS_TO_BFT,1,1,1,1,Calculations,Structured Text,1,0,0
MS_TO_KMH,1,1,1,1,Calculations,Structured Text,1,0,0
MULTIME,1,1,1,1,Time_and_Date,Structured Text,1,0,0
MULTI_IN,1,1,1,1,Sensors,Structured Text,1,0,0
MUL_ADD,1,1,1,1,Mathematics,Structured Text,1,0,0
MUX_2,1,1,1,1,Logic_Mods,Structured Text,1,0,0
MUX_4,1,1,1,1,Logic_Mods,Structured Text,1,0,0
MUX_R2,1,1,1,1,Signal_Proc,Structured Text,1,0,0
MUX_R4,1,1,1,1,Signal_Proc,Structured Text,1,0,0
